,hotelname,rating,reviews,star rating, location, nearest, distance nearest,price,tax,tax
1883,Army Hotel,3.5,122.0,4.0,Ba Dinh  ,Old Quarter,2.0 km ,D 50,,12
1884,Hanoi Old Centre Hotel,5.0,87.0,2.0,Old Quarter ,Train Street,1.8 km ,D 102,,23
1885,Muong Thanh Hanoi Centre Hotel,3.5,99.0,4.0,Hoan Kiem ,Old Quarter,2.4 km ,D 57,,13
1886,A1 Hill Hanoi Hotel,4.0,8.0,3.0,Láng Thượng,,,D 24,,5
1887,Urban Alley Hotel,4.5,82.0,3.0,Old Quarter ,,,D 24,,
1888,TK123 Hanoi Hotel,4.5,77.0,3.0,Hoan Kiem ,Old Quarter ,1.8 km ,D 22,,5
1889,Trang Trang Premium Hotel,4.5,78.0,3.0,Old Quarter ,Old Quarter,540 m ,D 44,,11
1890,The Pilgrim Hotel,4.5,71.0,3.0,Old Quarter ,,,D 29,,
1891,Hanoi City Backpackers Hostel,4.5,443.0,2.0,Old Quarter ,,,D 10,,2
1892,Ancient Lane Hotel,4.5,126.0,2.0,Old Quarter ,,,D 32,,8
1893,CWD Hotel,3.5,11.0,3.0,Tay Ho (Westlake) ,Old Quarter,3.5 km ,D 42,,10
1894,Antique Angel Hotel,4.5,68.0,3.0,Old Quarter ,Old Quarter,750 m ,D 100,,25
1895,Luxury Airport Hotel & Travel,4.5,57.0,3.0,Mai Đình ,city centre ,22.9 km ,D 22,,
1896,Luxeden Hotel,4.5,49.0,3.0,Dịch Vọng Hậu ,city centre,7.8 km ,D 32,,9
1897,My Hotel 23,5.0,6.0,3.0,Hai Ba Trung ,Old Quarter,2.4 km ,D 19,,5
1898,Maro Hotel,4.5,48.0,3.0,Old Quarter ,Old Quarter,570 m ,D 53,,13
1899,Hanoi Rose Hotel,3.5,78.0,3.0,Old Quarter ,,,D 29,,
1900,Hanoi Delica Hotel,4.5,37.0,3.0,Old Quarter ,,,D 25,,6
1901,Centraltique Downtown - Bespoke Colonial House Near Hoan Kiem Lake,5.0,19.0,,Old Quarter ,Old Quarter,750 m ,D 23,,
1902,Hanoi Golden Charm Hotel,4.5,540.0,2.0,Old Quarter ,,,D 16,,4
1903,Minasi HanoiOi Hotel,4.5,16.0,4.0,Hoan Kiem ,Old Quarter,1.9 km ,D 39,,7
1904,TQT Hotel,4.0,21.0,4.0,Hoan Kiem ,Old Quarter,3.0 km ,D 40,,9
1905,Golden Time Hostel 3,4.0,515.0,2.0,Old Quarter ,Old Quarter,710 m ,D 24,,
1906,Hanoi Lullaby Hotel & Travel,4.5,37.0,3.0,Old Quarter ,Old Quarter,550 m ,D 42,,
1907,Gia Thinh Hotel,4.5,274.0,2.0,Old Quarter ,Old Quarter,700 m ,D 33,,
1908,Dahlia Hotel Hanoi,4.5,41.0,3.0,Old Quarter ,Old Quarter,820 m ,D 33,,7
1909,Viet Village Hotel - Convenient & Friendly,4.5,146.0,2.0,Mai Đình ,city centre ,23.4 km ,D 49,,11
1910,Wyndham Sky Lake Resort and Villas,5.0,18.0,5.0,Hanoi ,city centre,37.0 km ,D 75,,17
1911,Le Petit Hanoi Hotel,3.5,14.0,2.0,Old Quarter ,,,D 40,,10
1912,First Eden Hotel,4.0,130.0,3.0,Ba Dinh  ,Old Quarter,1.9 km ,D 23,,
1913,Olympus Old Quarter Hotel,4.0,82.0,3.0,Old Quarter ,Old Quarter,850 m ,D 26,,
1914,Hanoi Airport Hotel - Convenient & Friendly,4.5,63.0,2.0,Mai Đình ,city centre ,23.6 km ,D 28,,4
1915,VATC SleepPod Terminal 2,,,1.0,Phú Cường ,city centre ,28.4 km ,D 49,,
1916,Novotel Hanoi Thai Ha,4.0,30.0,4.0,Trung Liệt,,,D 106,,19
1917,Paragon Resort,3.0,7.0,3.0, ,city centre,56.1 km ,D 52,,14
1918,Hanoi EcoStay 2 hostel,4.0,11.0,2.0,Old Quarter ,Old Quarter,840 m ,D 10,,
1919,Lake Side Hotel,3.0,55.0,,Ba Dinh,,,D 41,,10
1920,North Hostel N.2,3.5,70.0,1.0,Old Quarter ,,,D 14,,
1921,Trang Trang Boutique Hotel,4.5,27.0,3.0,Old Quarter ,Old Quarter,710 m ,D 29,,5
1922,Hanoi Ping Luxury Hotel,4.0,49.0,3.0,Mễ Trì ,city centre,9.3 km ,D 28,,6
1923,Sakura Hotel 3,4.0,48.0,3.0,Ba Dinh  ,Sky Lotte Observation Deck,780 m ,D 56,,13
1924,Mayfair Hotel & Apartment Hanoi,4.5,5.0,2.0,Hoan Kiem ,Old Quarter ,1.9 km ,D 27,,7
1925,Muong Thanh Xa La,4.0,15.0,4.0,Phúc La ,city centre,13.3 km ,D 81,,21
1926,London Hanoi Hotel,4.0,15.0,4.0,Dịch Vọng ,city centre,7.2 km ,D 34,,9
1927,Hanoi Fantasea Hotel,3.5,42.0,,Old Quarter ,,,D 15,,
1928,Graffiti Hotel,,,2.0,Old Quarter ,,,D 23,,5
1929,Nusmile's Homestay & Travel,4.5,10.0,,Old Quarter ,,,D 21,,
1930,Church Boutique Hotel Hang Ca,4.5,23.0,3.0,Old Quarter ,Old Quarter,630 m ,D 38,,9
1931,Nature Hotel - Tran Thai Tong - Hanoi,5.0,17.0,3.0,Dịch Vọng ,city centre,7.3 km ,D 28,,7
1932,Prince II Hotel,4.0,218.0,2.0,Old Quarter ,Old Quarter,760 m ,D 36,,8
1933,Azumaya Hai Ba Trung 1 Hotel,4.0,30.0,3.0,Hoan Kiem ,Old Quarter,2.3 km ,D 51,,12
1934,Time Hotel,4.0,158.0,2.0,Old Quarter ,Old Quarter,980 m ,D 90,,24
1935,Charming Moon Hotel,5.0,8.0,3.0,Old Quarter ,Old Quarter,720 m ,D 51,,
1936,Reiwa Inn Apartment,,,3.0,Ba Dinh  ,Sky Lotte Observation Deck,810 m ,D 58,,15
1937,Hoa Dao Hotel,,,3.0,Tay Ho (Westlake),,,D 39,,10
1938,Reyna Hotel Hanoi,4.0,5.0,3.0,Mễ Trì ,city centre,9.5 km ,D 43,,10
1939,Dragon Airport Hotel,3.5,90.0,3.0,Phú Cường ,city centre ,30.1 km ,D 12,,4
1940,V-studio Hotel Apartment 3,,,3.0,Mễ Trì ,city centre,9.9 km ,D 18,,4
1941,A25 Hotel - 19 Phan Dinh Phung,4.0,81.0,2.0,Hoan Kiem ,Old Quarter,1.6 km ,D 45,,
1942,Sakura Hotel,4.0,72.0,2.0,Ba Dinh  ,Sky Lotte Observation Deck,770 m ,D 60,,16
1943,Eden Hotel,3.5,69.0,3.0,Hai Ba Trung ,Old Quarter,3.0 km ,D 34,,9
1944,Roygent Parks Hanoi,4.5,9.0,4.0,Trung Hoà ,city centre,8.5 km ,D 69,,15
1945,Mely Hotel,,,3.0,Nhân Chính ,city centre,7.4 km ,D 21,,4
1946,Hanoi Amber hotel,4.0,27.0,3.0,Old Quarter ,Old Quarter,990 m ,D 30,,
1947,Aira Boutique Hanoi Hotel & Spa,,,4.0,Ba Dinh  ,Old Quarter,1.7 km ,D 108,,9
1948,Duc Trong Hotel,,,4.0,Đồng Tâm,,,D 46,,6
1949,Hanoi All Nations Homestay,,,4.0,Old Quarter ,Old Quarter,720 m ,D 18,,
1950,Paradise Home West Lake 19 To Ngoc Van,,,4.0,Tay Ho (Westlake) ,Ho Tay lake (West Lake),1.8 km ,D 24,,
1951,Halais Hotel,4.0,7.0,4.0,Hai Ba Trung ,Old Quarter,2.6 km ,D 34,,9
1952,Hanoi View Legend Hotel,4.5,14.0,2.0,Old Quarter ,,,D 26,,
1953,Hanoi A83 Hotel,,,2.0,Nam Đồng ,Old Quarter,3.9 km ,D 20,,5
1954,Sao Bang Hotel,,,3.0,Ngọc Lâm ,city centre ,3.0 km ,D 25,,6
1955,Grande Collection Hotel & Spa,5.0,322.0,4.0,Hoan Kiem (Old Quarter) ,,,D 53,,14
1956,Diamond Legend Hotel,4.5,1142.0,3.0,Hoan Kiem (Old Quarter) ,,,D 23,,6
1957,Grand Mercure Hanoi,5.0,197.0,,Cat Linh ,,,D 131,,
1958,Lotte Hotel Hanoi,5.0,2478.0,5.0,Ba Dinh  ,,,D 99,,27
1959,Silk Path Hotel Hanoi,4.5,4361.0,4.0,Hoan Kiem (Old Quarter) ,,,D 67,,
1960,Silk Path Boutique Hanoi,5.0,2488.0,4.0,Hoan Kiem (Old Quarter) ,,,D 65,,15
1961,Pullman Hanoi Hotel,4.0,1063.0,5.0,Cat Linh ,,,D 124,,
1962,Bonne Nuit Hotel and Spa Hanoi,4.0,94.0,4.0,Hoan Kiem (Old Quarter) ,,,D 32,,9
1963,Splendid Star grand hotel and spa,5.0,3316.0,4.0,Hoan Kiem (Old Quarter) ,,,D 30,,4
1964,Hanoi Anise Hotel and Spa,5.0,152.0,4.0,Hoan Kiem (Old Quarter) ,,,D 20,,6
1965,Dolce by Wyndham Hanoi Golden Lake,4.5,107.0,5.0,Ba Dinh,,,D 125,,28
1966,Aurora Premium Hotel and Spa,5.0,447.0,4.0,Hoan Kiem (Old Quarter) ,,,D 45,,12
1967,Grand Vista Hanoi,4.5,161.0,5.0,Ba Dinh,,,D 69,,18
1968,Haibay hotel,5.0,800.0,4.0,Hoan Kiem (Old Quarter) ,,,D 48,,11
1969,Thang Long Opera Hotel,4.5,410.0,4.0,Hoan Kiem (Old Quarter) ,,,D 43,,11
1970,SOJO Hotel Ga Hanoi,4.5,29.0,4.0,Hoan Kiem (Old Quarter) ,,,D 36,,7
1971,Acoustic Hotel & Spa,5.0,696.0,4.0,Hoan Kiem (Old Quarter) ,,,D 59,,13
1972,Somerset West Point Hanoi,4.5,133.0,5.0,Tay Ho (Westlake) ,,,D 80,,21
1973,May De Ville Luxury Hotel & Spa,4.0,1060.0,5.0,Hoan Kiem (Old Quarter) ,,,D 81,,23
1974,The Oriental Jade,5.0,2540.0,5.0,Hoan Kiem (Old Quarter) ,,,D 99,,23
1975,Sheraton Hanoi Hotel,4.5,2213.0,5.0,Tay Ho (Westlake) ,,,D 179,,
1976,Golden Silk Boutique Hotel,4.5,1258.0,4.0,Hoan Kiem (Old Quarter) ,,,D 44,,10
1977,Somerset Hoa Binh Hanoi,4.5,162.0,4.0,Nghia Tan ,city centre,7.6 km ,D 51,,13
1978,Wyndham Garden Hanoi,5.0,62.0,4.0,Vạn Phúc ,city centre,11.4 km ,D 50,,13
1979,InterContinental Hanoi Westlake,4.5,2951.0,5.0,Tay Ho (Westlake) ,,,D 141,,
1980,Hanoi Inner Hotel,5.0,873.0,3.0,Hoan Kiem (Old Quarter) ,,,D 26,,6
1981,Little Diamond Hotel,4.5,732.0,3.0,Hoan Kiem (Old Quarter) ,,,D 22,,
1982,Bespoke Trendy Hotel Hanoi (formerly La Siesta Trendy),5.0,4369.0,4.0,Hoan Kiem (Old Quarter) ,,,D 85,,
1983,Dal Vostro Hotel & Spa,5.0,494.0,4.0,Hoan Kiem (Old Quarter) ,,,D 42,,10
1984,My Moon Hotel,4.5,486.0,3.0,Hoan Kiem (Old Quarter) ,,,D 28,,7
1985,Hyatt Regency West Hanoi,4.5,773.0,5.0,Mỹ Đình 2 ,city centre,10.5 km ,D 89,,
1986,La Beaute de Hanoi Hotel,5.0,1655.0,3.0,Hoan Kiem (Old Quarter) ,,,D 35,,8
1987,San Grand Hotel,5.0,1643.0,4.0,Hoan Kiem (Old Quarter) ,,,D 107,,26
1988,Hanoi Graceful Hotel,4.5,844.0,3.0,Hoan Kiem (Old Quarter) ,,,D 45,,10
1989,Mayflower Hotel Hanoi,5.0,265.0,3.0,Hoan Kiem (Old Quarter) ,,,D 22,,6
1990,Somerset Grand Hanoi,4.5,1177.0,5.0,Hoan Kiem (Old Quarter) ,,,D 88,,23
1991,Dragon Hotel,4.0,73.0,3.0,Tay Ho (Westlake) ,,,D 26,,6
1992,Elegant Suites Westlake,4.5,259.0,5.0,Tay Ho (Westlake) ,,,D 78,,18
1993,La Sinfonia Citadel hotel and Spa,5.0,1053.0,4.0,Hoan Kiem (Old Quarter) ,,,D 106,,26
1994,Dream Hotel & Apartment,5.0,229.0,4.0,Nam Đồng,,,D 36,,9
1995,Hanoi Paon Hotel & Spa,4.5,298.0,4.0,Hoan Kiem (Old Quarter) ,,,D 48,,13
1996,Hai Bay Hotel & Restaurant,5.0,799.0,4.0,Hoan Kiem (Old Quarter) ,,,D 41,,9
1997,San Premium Hotel,5.0,404.0,4.0,Hoan Kiem (Old Quarter) ,,,D 39,,9
1998,Hanoi Nostalgia Hotel & Spa,4.0,138.0,3.0,Hoan Kiem (Old Quarter) ,,,D 39,,10
1999,Oriental Suite Hotel & Spa,5.0,2929.0,4.0,Hoan Kiem (Old Quarter) ,,,D 45,,10
2000,Hanoi La Storia Hotel,5.0,338.0,3.0,Hoan Kiem (Old Quarter) ,,,D 44,,10
2001,Le Jardin Hotel Haute Couture,5.0,282.0,4.0,Ba Dinh  ,,,D 61,,
2002,Hanoi Royal Palace Hotel 2,4.5,2241.0,4.0,Hoan Kiem (Old Quarter) ,,,D 54,,
2003,Hotel du Parc Hanoi,4.5,145.0,5.0,Hai Ba Trung ,,,D 80,,20
2004,Ken Hotel by Connek,5.0,95.0,4.0,Hoan Kiem (Old Quarter) ,,,D 40,,10
2005,Melia Hanoi Hotel,4.5,2827.0,5.0,Hoan Kiem (Old Quarter) ,,,D 112,,27
2006,Memory Legends Hotel,5.0,540.0,3.0,Hoan Kiem (Old Quarter) ,,,D 29,,7
2007,Fortuna Hanoi Hotel,4.0,401.0,4.0,Ba Dinh,,,D 73,,16
2008,Hanoi Sky Hotel,4.5,723.0,3.0,Hoan Kiem (Old Quarter) ,,,D 31,,7
2009,Blue Hanoi Inn Hotel,5.0,544.0,3.0,Hoan Kiem (Old Quarter) ,,,D 24,,5
2010,Super Hotel Candle,4.0,151.0,4.0,Ba Dinh,,,D 43,,10
2011,Hanoi La Palm Premier Hotel&Spa,5.0,2783.0,4.0,Hoan Kiem (Old Quarter) ,,,D 47,,11
2012,La Palm Hotel,4.5,361.0,3.0,Hoan Kiem (Old Quarter) ,,,D 32,,7
2013,The Ann Hanoi,4.5,929.0,4.0,Hai Ba Trung ,,,D 69,,16
2014,Hanoi Brilliant Hotel and Spa,5.0,864.0,4.0,Hoan Kiem (Old Quarter) ,,,D 60,,14
2015,May De Ville Premier Hotel and Spa,4.5,63.0,4.0,Hoan Kiem (Old Quarter) ,,,D 75,,13
2016,The Lapis Hotel,4.5,905.0,4.0,Hoan Kiem (Old Quarter) ,,,D 60,,13
2017,Hanoi Daewoo Hotel,4.0,671.0,5.0,Ba Dinh  ,,,D 73,,18
2018,Singita Classy Boutique Hotel,5.0,62.0,4.0,Hoan Kiem (Old Quarter) ,,,D 44,,11
2019,Sofitel Legend Metropole Hanoi,5.0,8589.0,5.0,Hoan Kiem (Old Quarter) ,,,D 321,,77
2020,Hanoi Le Jardin Hotel & Spa,5.0,560.0,4.0,Ba Dinh  ,,,D 52,,12
2021,Rex Hanoi Hotel,4.5,220.0,4.0,Hoan Kiem (Old Quarter) ,,,D 63,,
2022,Matilda Boutique and Spa Hotel,4.5,61.0,4.0,Hoan Kiem (Old Quarter) ,,,D 63,,15
2023,Hanoi Ancient Paradise Hotel,4.5,1452.0,3.0,Hoan Kiem (Old Quarter) ,,,D 28,,6
2024,La Sinfonía Majesty Hotel and Spa,5.0,433.0,3.0,Hoan Kiem (Old Quarter) ,,,D 98,,23
2025,Apricot Hotel,4.5,1376.0,5.0,Hoan Kiem (Old Quarter) ,,,D 100,,25
2026,Hanoi Aria Central Hotel & Spa,5.0,417.0,3.0,Hoan Kiem (Old Quarter) ,,,D 22,,5
2027,Aquarius Grand Hotel,5.0,252.0,3.0,Hoan Kiem (Old Quarter) ,,,D 35,,8
2028,A25 Luxury Hotel,4.0,36.0,4.0,Hai Ba Trung,,,D 37,,8
2029,Skylark Hotel Hanoi,4.5,685.0,4.0,Hoan Kiem (Old Quarter) ,,,D 38,,10
2030,Hanoi Chic Boutique Hotel,4.5,309.0,3.0,Hoan Kiem (Old Quarter) ,,,D 37,,8
2031,Romantique Hotel De Hanoi,5.0,50.0,4.0,Hoan Kiem (Old Quarter) ,,,D 41,,7
2032,Silk Queen Hotel Hanoi,3.5,92.0,4.0,Hoan Kiem (Old Quarter) ,,,D 42,,9
2033,Silk Queen Grand Hotel,4.0,236.0,4.0,Hoan Kiem (Old Quarter) ,,,D 45,,10
2034,Kingly Hotel,4.0,31.0,3.0,Hoan Kiem (Old Quarter) ,,,D 23,,5
2035,Hanoi Posh Boutique Hotel,4.5,484.0,3.0,Hoan Kiem (Old Quarter) ,,,D 30,,
2036,Meritel Hanoi,5.0,453.0,4.0,Hoan Kiem (Old Quarter) ,,,D 77,,17
2037,Golden Art Hotel,5.0,1920.0,3.0,Hoan Kiem (Old Quarter) ,,,D 33,,
2038,O'Gallery Premier Hotel & Spa,5.0,3005.0,4.0,Hoan Kiem (Old Quarter) ,,,D 50,,11
2039,Lakeside Palace Hotel,4.0,56.0,3.0,Hoan Kiem (Old Quarter) ,,,D 31,,8
2040,Hanoi Golden Holiday Hotel,5.0,446.0,3.0,Hoan Kiem (Old Quarter) ,,,D 35,,
2041,Hotel Garden Queen,4.0,89.0,3.0,Hoan Kiem (Old Quarter) ,,,D 51,,12
2042,Le Foyer Hotel,4.0,81.0,3.0,Hoan Kiem (Old Quarter) ,,,D 31,,7
2043,Mon Regency Hotel,3.5,89.0,4.0,Hoan Kiem (Old Quarter) ,,,D 32,,7
2044,The Chi Boutique Hotel Hanoi,5.0,872.0,4.0,Hoan Kiem (Old Quarter) ,,,D 54,,14
2045,Hilton Garden Inn Hanoi,4.5,788.0,4.0,Hoan Kiem (Old Quarter) ,,,D 83,,
2046,Lavender Central Hotel & Spa,5.0,3678.0,4.0,Hoan Kiem (Old Quarter) ,,,D 49,,
2047,La Siesta Premium Hang Be,5.0,2348.0,4.0,Hoan Kiem (Old Quarter) ,,,D 135,,30
2048,La Nueva Boutique Hotel Ha Noi,5.0,1883.0,4.0,Hoan Kiem (Old Quarter) ,,,D 91,,22
2049,Hanoi Media Hotel and Spa,5.0,1346.0,4.0,Hoan Kiem (Old Quarter) ,,,D 43,,10
2050,Paragon Noi Bai Hotel and Pool,4.0,24.0,3.0,Phú Cường ,city centre ,30.2 km ,D 30,,5
2051,Especen Hotel,4.0,334.0,2.0,Hoan Kiem (Old Quarter) ,,,D 16,,
2052,Sen Grand Hotel & Spa managed by Sen Group,5.0,140.0,4.0,Quan Hoa ,city centre ,6.4 km ,D 43,,10
2053,Hanoi Tokyo Hotel,,,4.0,Hoan Kiem (Old Quarter) ,,,D 66,,
2054,Hanoi Pearl Hotel,4.5,2046.0,4.0,Hoan Kiem (Old Quarter) ,,,D 49,,11
2055,Airport Hotel Hanoi Convenient & Friendly,5.0,21.0,2.0,Phú Cường ,city centre ,30.0 km ,D 29,,7
2056,Authentic Hanoi Boutique Hotel,4.5,934.0,4.0,Hoan Kiem (Old Quarter) ,,,D 48,,11
2057,L'Heritage Hotel,4.5,1424.0,4.0,Hoan Kiem (Old Quarter) ,,,D 70,,
2058,Imperial Hotel & Spa Hanoi,,,4.0,Hoan Kiem (Old Quarter) ,,,D 57,,13
2059,Grand Cititel Hanoi Hotel,4.5,181.0,4.0,Hoan Kiem (Old Quarter) ,,,D 49,,11
2060,Flower Garden Hotel,4.5,501.0,4.0,Ba Dinh  ,,,D 199,,45
2061,Capella Hanoi,5.0,232.0,5.0,Hoan Kiem (Old Quarter) ,,,D 394,,98
2062,La Casa Hanoi Hotel,4.5,252.0,4.0,Hai Ba Trung ,,,D 58,,10
2063,Novotel Suites Hanoi,4.5,199.0,4.0,Dịch Vọng Hậu ,city centre,8.3 km ,D 74,,18
2064,Holiday Emerald Hotel,5.0,845.0,3.0,Hoan Kiem (Old Quarter) ,,,D 31,,7
2065,Hanoi Emerald Waters Hotel & Spa,5.0,1098.0,4.0,Hoan Kiem (Old Quarter) ,,,D 41,,9
2066,Hanoi Evergreen Hotel,3.5,170.0,2.0,Hoan Kiem (Old Quarter) ,,,D 10,,
2067,Millennium Hanoi 9 Hotel,4.0,18.0,3.0,Hoan Kiem (Old Quarter) ,,,D 18,,4
2068,My Way Hotel & Residence,4.5,48.0,4.0,Dịch Vọng Hậu ,city centre,8.7 km ,D 58,,14
2069,Little Hanoi Deluxe Hotel,5.0,870.0,3.0,Hoan Kiem (Old Quarter) ,,,D 31,,7
2070,Hanoi Hotel Royal,5.0,912.0,3.0,Hoan Kiem (Old Quarter) ,,,D 38,,9
2071,Skyline Hanoi Hotel,5.0,721.0,3.0,Hoan Kiem (Old Quarter) ,,,D 28,,7
2072,Hanoi Golden Moon Hotel,5.0,764.0,3.0,Hoan Kiem (Old Quarter) ,,,D 34,,8
2073,Splendid Hotel & Spa,5.0,672.0,3.0,Hoan Kiem (Old Quarter) ,,,D 37,,10
2074,Hanoi Paradise Center Hotel & Spa,4.5,44.0,4.0,Hoan Kiem (Old Quarter) ,,,D 48,,11
2075,S Central Hotel and Spa,5.0,357.0,3.0,Hoan Kiem (Old Quarter) ,,,D 31,,7
2076,Au Coeur d'Hanoi Boutique Hotel,5.0,416.0,3.0,Hoan Kiem (Old Quarter) ,,,D 46,,
2077,Golden Rooster Hotel,5.0,445.0,3.0,Hoan Kiem (Old Quarter) ,,,D 71,,16
2078,Hanoi Elite Hotel,5.0,397.0,3.0,Hoan Kiem (Old Quarter) ,,,D 34,,8
2079,San Palace Hotel,5.0,315.0,3.0,Hoan Kiem (Old Quarter) ,,,D 80,,
2080,La Dolce Vita,4.0,588.0,4.0,Hoan Kiem (Old Quarter) ,,,D 47,,11
2081,Hanoi La Selva Central Hotel,5.0,175.0,3.0,Hoan Kiem (Old Quarter) ,,,D 40,,10
2082,The Hanoi Club Hotel & Residences,4.0,358.0,4.0,Tay Ho (Westlake) ,,,D 59,,15
2083,The Noble Swan Hotel & Spa,4.5,48.0,4.0,Hoan Kiem (Old Quarter) ,,,D 51,,
2084,Hanoi Esplendor Hotel and Spa,5.0,119.0,3.0,Hoan Kiem (Old Quarter) ,,,D 54,,
2085,Hanoi Vacanza Premier Hotel,5.0,92.0,4.0,Hoan Kiem (Old Quarter) ,,,D 44,,6
2086,La Beaute Boutique Hotel & Spa,5.0,60.0,3.0,Hoan Kiem (Old Quarter) ,,,D 36,,9
2087,Hanoi Victor Gallery Hotel & Spa,4.0,74.0,4.0,Hoan Kiem (Old Quarter) ,,,D 54,,5
2088,La Santé Hotel & Spa,4.0,63.0,4.0,Ba Dinh  ,,,D 29,,7
2089,Centre Point Hanoi Hotel,4.5,249.0,3.0,Hoan Kiem (Old Quarter) ,,,D 106,,24
2090,The Artisan Lakeview Hotel,4.5,419.0,3.0,Hoan Kiem (Old Quarter) ,,,D 52,,12
2091,Vision Premier Hotel & Spa,4.5,143.0,3.0,Hoan Kiem (Old Quarter) ,,,D 25,,6
2092,Spoon Hotel,4.5,218.0,3.0,Hoan Kiem (Old Quarter) ,,,D 16,,
2093,Hillary Hanoi Hotel,,,4.0,Dịch Vọng ,city centre,7.6 km ,D 27,,6
2094,Grand Plaza Hanoi Hotel,4.0,181.0,5.0,Trung Hoà ,city centre,7.9 km ,D 82,,18
2095,Hanoi Elpis Hotel,4.5,95.0,3.0,Hoan Kiem (Old Quarter) ,,,D 23,,5
2096,Hanoi Delica Hotel,4.5,37.0,3.0,Hoan Kiem (Old Quarter) ,,,D 25,,6
2097,New Sky Airport Hotel,5.0,5.0,2.0,Phú Cường ,city centre ,29.6 km ,D 14,,
2098,The West Hotel & Spa,4.5,29.0,3.0,Hoan Kiem (Old Quarter) ,,,D 45,,
2099,Eco Luxury Hotel Hanoi,4.0,252.0,3.0,Hoan Kiem (Old Quarter) ,,,D 52,,12
2100,Diamond Nostalgia Hotel & Spa,1.5,10.0,3.0,Hoan Kiem (Old Quarter) ,,,D 24,,5
2101,Soleil Boutique Hotel,5.0,311.0,4.0,Hoan Kiem (Old Quarter) ,,,D 83,,19
2102,Jacosmo Hotel & Spa,5.0,826.0,4.0,Hoan Kiem (Old Quarter) ,,,D 88,,20
2103,Old Quarter Hotel 1961,1.5,5.0,,Hoan Kiem (Old Quarter) ,,,D 9,,
2104,AncyrA TamTam Hotel by Continent - Near Hoan Kiem Lake,4.5,24.0,3.0,Hoan Kiem (Old Quarter) ,,,D 24,,5
2105,Hanoian Central Hotel & Spa,5.0,430.0,4.0,Hoan Kiem (Old Quarter) ,,,D 75,,
2106,LeaH Silk Hotel,5.0,194.0,4.0,Hoan Kiem (Old Quarter) ,,,D 74,,17
2107,Little Hanoi Hotel,4.5,503.0,3.0,Hoan Kiem (Old Quarter) ,,,D 37,,8
2108,Hanoi Siva Luxury Hotel & Travel,5.0,685.0,4.0,Hoan Kiem (Old Quarter) ,,,D 39,,9
2109,Family Transit Hotel,4.0,121.0,2.0,Phú Cường ,city centre ,29.1 km ,D 12,,3
2110,Eastin Hotel & Residences Hanoi,5.0,75.0,4.0,Dịch Vọng Hậu ,city centre,8.7 km ,D 82,,11
2111,Parosand Hanoi Hotel & Apartment,5.0,6.0,4.0,Tay Ho (Westlake),,,D 26,,6
2112,New Airport Hotel,4.5,166.0,3.0,Mai Đình ,city centre ,23.5 km ,D 19,,
2113,Hanoi Fiesta Hotel & Spa,5.0,59.0,4.0,Hoan Kiem (Old Quarter) ,,,D 37,,9
2114,Serenity Diamond Hotel,4.5,549.0,3.0,Hoan Kiem (Old Quarter) ,,,D 23,,6
2115,Hanoi Gatsby Hotel,4.0,18.0,3.0,Hoan Kiem (Old Quarter) ,,,D 32,,7
2116,Oakwood Residence Hanoi,5.0,299.0,5.0,Tay Ho (Westlake) ,,,D 72,,13
2117,JW Marriott Hotel Hanoi,5.0,2972.0,5.0,Mễ Trì ,city centre,9.8 km ,D 205,,
2118,Anova Hotel,3.5,33.0,3.0,Mai Đình ,city centre ,24.0 km ,D 17,,4
2119,Golden Lotus Airport Hotel,,,3.0,Phú Cường ,city centre ,30.1 km ,D 20,,3
2120,22Land Residence Hotel & Spa 52 Ngo Huyen,,,4.0,Hoan Kiem (Old Quarter) ,,,D 36,,3
2121,Nesta Hotel Ha Noi,4.5,303.0,4.0,Hai Ba Trung ,,,D 45,,10
2122,Diamond Westlake Suites,4.5,216.0,5.0,Tay Ho (Westlake),,,D 50,,12
2123,De Syloia Hotel,4.5,171.0,4.0,Hoan Kiem (Old Quarter) ,,,D 99,,23
2124,HNC Premier Hotel & Residences,5.0,34.0,4.0,Hoan Kiem (Old Quarter) ,,,D 39,,9
2125,Hanoi Backpackers Hostel & Rooftop bar,5.0,216.0,3.0,Hoan Kiem (Old Quarter) ,,,D 41,,9
2126,Hanoi Lake View Hotel & Spa,4.5,114.0,4.0,Hoan Kiem (Old Quarter) ,,,D 70,,17
2127,Luxury Hotel,5.0,514.0,3.0,Hoan Kiem (Old Quarter) ,,,D 25,,6
2128,Lenid Hotel Tho Nhuom,4.5,80.0,4.0,Hoan Kiem (Old Quarter) ,,,D 38,,9
2129,Mina Hotel & Spa,4.5,50.0,4.0,Hoan Kiem (Old Quarter) ,,,D 48,,11
2130,Parkside Sunline Hotel,4.5,76.0,4.0,Hai Ba Trung ,,,D 42,,10
2131,Five Star Westlake 1st-4th Floors Hotel & Serviced Apartment,4.5,9.0,5.0,Ba Dinh,,,D 69,,
2132,Rose Garden Residence,4.5,50.0,4.0,Ba Dinh,,,D 49,,12
2133,Hanoi La Siesta Hotel & Spa,5.0,5851.0,4.0,Hoan Kiem (Old Quarter) ,,,D 139,,32
2134,Luxury Backpackers,5.0,1411.0,3.0,Hoan Kiem (Old Quarter) ,,,D 29,,7
2135,Golden Villa Hotel,5.0,1310.0,3.0,Hoan Kiem (Old Quarter) ,,,D 42,,
