,hotelname,rating,reviews,star rating, location, nearest, distance nearest,price,tax,tax
212,Hanoi Larosa Hotel,4.5,281.0,3.0,Văn Miếu ,Old Quarter ,1.8 km ,D 39,9         ,
213,Icon 36 Hotel & Residence,4.5,312.0,3.0,Old Quarter ,Old Quarter,620 m ,D 53,13         ,
214,Blue Hanoi Inn Luxury Hotel,,,3.0,Ba Dinh,,,D 31,7         ,
215,Minerva Church Hotel,4.5,23.0,4.0,Old Quarter ,,,D 57,13         ,
216,Smarana Hanoi Heritage,,,5.0,Dịch Vọng Hậu ,city centre,8.4 km ,D 148,         ,
217,Hanoi A1 Hotel,4.5,226.0,3.0,Old Quarter ,Old Quarter,630 m ,D 61,15         ,
218,Thien Thai Hotel and Spa,4.5,28.0,4.0,Ba Dinh  ,Old Quarter,2.7 km ,D 50,         ,
219,HAAP Transit Hotel,4.5,209.0,3.0,Mai Đình ,city centre ,23.3 km ,D 29,7         ,
220,HNC Premier Hotel & Residences,5.0,34.0,3.0,Hoan Kiem ,Old Quarter,1.8 km ,D 39,9         ,
221,Serenity Villa Hotel,4.5,516.0,3.0,Old Quarter ,,,D 29,         ,
222,Hanoi Malo Boutique Hotel,4.5,159.0,3.0,Old Quarter ,Old Quarter,640 m ,D 56,15         ,
223,Eternity Hanoi Hotel,3.5,12.0,3.0,Hoan Kiem ,Old Quarter ,1.9 km ,D 26,6         ,
224,Hanoi Elpis Grand Hotel,4.5,304.0,3.0,Old Quarter ,Old Quarter,880 m ,D 28,         ,
225,Hanoi Massive Hostel,5.0,81.0,2.0,Old Quarter ,Old Quarter,510 m ,D 19,4         ,
226,Hanoi Central Park Hotel,4.5,238.0,3.0,Old Quarter ,Old Quarter,630 m ,D 20,3         ,
227,Muong Thanh Grand Hanoi Hotel,3.5,98.0,4.0,Đại Kim ,city centre,9.3 km ,D 53,12         ,
228,Hanoi House Hostel & Travel,5.0,2156.0,2.0,Old Quarter ,Old Quarter,800 m ,D 58,15         ,
229,Emerald Hotel Hanoi,4.5,78.0,3.0,Hai Ba Trung ,Old Quarter,2.5 km ,D 31,8         ,
230,Vong Xua Hotel,4.5,62.0,3.0,Hai Ba Trung,,,D 23,5         ,
231,Sweet Family Guest House,4.5,56.0,3.0,Old Quarter ,Old Quarter,670 m ,D 45,10         ,
232,HANZ Kieu Anh Hotel,,,2.0,Trung Hoà ,city centre,7.7 km ,D 20,         ,
233,Western Hanoi Hotel,4.0,25.0,4.0,Dịch Vọng Hậu ,city centre,7.7 km ,D 26,6         ,
234,Gem Premier Hotel & Spa,2.5,25.0,3.0,Old Quarter ,Old Quarter,510 m ,D 20,5         ,
235,New Sky Airport Hotel,5.0,5.0,2.0,Phú Cường ,city centre ,29.6 km ,D 14,         ,
236,Riverside Hanoi Hotel,3.5,38.0,4.0,Nghĩa Đô,,,D 25,6         ,
237,Hanoi Pho Hotel,4.5,697.0,2.0,Old Quarter ,Old Quarter,580 m ,D 16,         ,
238,Maison d'Orient Hotel,4.5,495.0,2.0,Old Quarter ,,,D 36,9         ,
239,Chikoo Homestay (spot-on),,,3.0,Ba Dinh  ,Old Quarter,1.8 km ,D 8,         ,
240,Mai Charming Hotel & Spa,4.5,389.0,3.0,Old Quarter ,,,D 31,         ,
241,Diamond Westlake Suites,4.5,216.0,5.0,Tay Ho (Westlake) ,Ho Tay lake (West Lake),1.9 km ,D 44,12         ,
242,Bao Son International Hotel,3.5,84.0,4.0,Ba Dinh,,,D 79,19         ,
243,The Pearl Hotel,4.0,12.0,3.0,Ba Dinh,,,D 31,7         ,
244,Hanoi Starlight Hotel,4.0,233.0,3.0,Old Quarter ,Old Quarter,640 m ,D 22,5         ,
245,Calidas Landmark72 Royal Residence Hanoi,4.0,32.0,5.0,Mỹ Đình 1 ,city centre,8.8 km ,D 121,28         ,
246,JM Marvel Hotel & Spa,5.0,1784.0,4.0,Old Quarter ,,,D 70,16         ,
247,Hanoi Morning Hotel,4.0,181.0,3.0,Old Quarter ,Train Street,1.9 km ,D 38,9         ,
248,HANZ Hanoi De Maison Grand Hotel,4.0,134.0,3.0,Old Quarter ,,,D 27,7         ,
